id#,OverallSatisfaction,carpet,seats,upholstery,dashlayout,legroom,airconditioning,steering,handling,trim,brakes,acceleration,storage,interior,performance
1,5,6,6,6,6,6,5,3,3,6,3,3,5,5.75,3
2,5,5,5,5,5,5,5,5,5,6,5,4,5,5.125,4.75
3,4,4,4,4,4,4,5,4,3,5,3,3,4,4.25,3.25
4,4,5,5,5,4,5,4,4,3,5,3,3,5,4.75,3.25
5,4,4,4,3,4,3,4,5,5,4,4,4,5,3.875,4.5
6,4,4,5,5,5,5,4,3,3,5,3,2,5,4.75,2.75
7,5,5,5,5,5,5,5,4,4,5,4,4,5,5,4
8,4,4,4,4,4,3,4,4,4,4,4,4,4,3.875,4
9,4,4,4,5,5,5,5,2,3,5,2,2,5,4.75,2.25
10,4,4,4,4,3,4,3,4,4,3,4,4,3,3.5,4
11,3,4,4,4,4,4,3,2,2,4,2,2,3,3.75,2
12,4,4,4,4,4,5,4,4,4,4,4,3,4,4.125,3.75
13,7,7,6,6,7,6,7,5,6,7,6,6,6,6.5,5.75
14,6,6,6,6,6,6,5,7,6,6,6,6,6,5.875,6.25
15,4,4,4,4,4,4,4,3,3,4,3,3,4,4,3
