constructorResultsId,raceId,constructorId,points,status,year
14759,895,207,0.0,\N,2013
14760,895,206,0.0,\N,2013
14761,896,9,25.0,\N,2013
14762,896,131,26.0,\N,2013
14763,896,208,21.0,\N,2013
14764,896,6,12.0,\N,2013
14765,896,1,10.0,\N,2013
14766,896,10,6.0,\N,2013
14767,896,5,1.0,\N,2013
14768,896,3,0.0,\N,2013
14769,896,15,0.0,\N,2013
14770,896,206,0.0,\N,2013
14771,896,207,0.0,\N,2013
14772,897,9,43.0,\N,2013
14773,897,131,21.0,\N,2013
14774,897,208,12.0,\N,2013
14775,897,6,14.0,\N,2013
14776,897,10,9.0,\N,2013
14777,897,1,2.0,\N,2013
14778,897,3,0.0,\N,2013
14779,897,15,0.0,\N,2013
14780,897,5,0.0,\N,2013
14781,897,207,0.0,\N,2013
14782,897,206,0.0,\N,2013
14783,898,9,40.0,\N,2013
14784,898,208,18.0,\N,2013
14785,898,131,14.0,\N,2013
14786,898,6,10.0,\N,2013
14787,898,15,8.0,\N,2013
14788,898,1,7.0,\N,2013
14789,898,3,4.0,\N,2013
14790,898,5,0.0,\N,2013
14791,898,10,0.0,\N,2013
14792,898,206,0.0,\N,2013
14793,898,207,0.0,\N,2013
14794,899,9,43.0,\N,2013
14795,899,6,21.0,\N,2013
14796,899,1,20.0,\N,2013
14797,899,131,12.0,\N,2013
14798,899,15,4.0,\N,2013
14799,899,5,1.0,\N,2013
14800,899,10,0.0,\N,2013
14801,899,208,0.0,\N,2013
14802,899,3,0.0,\N,2013
14803,899,206,0.0,\N,2013
14804,899,207,0.0,\N,2013
14808,900,131,25.0,\N,2014
14809,900,9,0.0,\N,2014
14810,900,1,33.0,\N,2014
14811,900,6,18.0,\N,2014
14812,900,3,10.0,\N,2014
14813,900,10,9.0,\N,2014
14814,900,5,6.0,\N,2014
14815,900,15,0.0,\N,2014
14816,900,206,0.0,\N,2014
14817,900,208,0.0,\N,2014
14818,900,207,0.0,\N,2014
14819,901,131,43.0,\N,2014
14820,901,9,15.0,\N,2014
14821,901,6,12.0,\N,2014
14822,901,10,10.0,\N,2014
14823,901,1,10.0,\N,2014
14824,901,3,10.0,\N,2014
14825,901,5,1.0,\N,2014
14826,901,208,0.0,\N,2014
14827,901,207,0.0,\N,2014
14828,901,206,0.0,\N,2014
14829,901,15,0.0,\N,2014
14830,902,131,43.0,\N,2014
14831,902,10,25.0,\N,2014
14832,902,9,20.0,\N,2014
14833,902,3,10.0,\N,2014
14834,902,6,3.0,\N,2014
14835,902,5,0.0,\N,2014
14836,902,208,0.0,\N,2014
14837,902,206,0.0,\N,2014
14838,902,207,0.0,\N,2014
14839,902,1,0.0,\N,2014
14840,902,15,0.0,\N,2014
14841,903,131,43.0,\N,2014
14842,903,6,19.0,\N,2014
14843,903,9,22.0,\N,2014
14844,903,10,10.0,\N,2014
14845,903,3,6.0,\N,2014
14846,903,5,1.0,\N,2014
14847,903,1,0.0,\N,2014
14848,903,208,0.0,\N,2014
14849,903,15,0.0,\N,2014
14850,903,207,0.0,\N,2014
14851,903,206,0.0,\N,2014
15820,1007,9,25.0,\N,2018
14853,904,131,43.0,\N,2014
14854,904,9,27.0,\N,2014
14855,904,3,10.0,\N,2014
14856,904,6,14.0,\N,2014
14857,904,208,4.0,\N,2014
14858,904,10,3.0,\N,2014
14859,904,1,0.0,\N,2014
14860,904,5,0.0,\N,2014
14861,904,15,0.0,\N,2014
14862,904,206,0.0,\N,2014
14863,904,207,0.0,\N,2014
14864,905,131,43.0,\N,2014
14865,905,9,15.0,\N,2014
14866,905,6,12.0,\N,2014
14867,905,10,10.0,\N,2014
14868,905,1,9.0,\N,2014
14869,905,3,6.0,\N,2014
14870,905,208,4.0,\N,2014
14871,905,206,2.0,\N,2014
14872,905,207,0.0,\N,2014
14873,905,15,0.0,\N,2014
14874,905,5,0.0,\N,2014
14875,906,9,40.0,\N,2014
14876,906,131,18.0,\N,2014
14877,906,1,14.0,\N,2014
14878,906,10,10.0,\N,2014
14879,906,6,9.0,\N,2014
14880,906,3,6.0,\N,2014
14881,906,5,4.0,\N,2014
14882,906,15,0.0,\N,2014
14883,906,208,0.0,\N,2014
14884,906,207,0.0,\N,2014
14885,906,206,0.0,\N,2014
