Driver Name ,Salary ,Team ,Driver Status ,Age,Number of World Championships ,Number of Pole Positions ,Number of Race Wins ,Number of Podiums ,Number of DNF ,Number of DSQ,Number of DNS,WD,Average Grid Position,Average Finish Position ,Lead Lap Finish,Points ,Number of Fastest Laps,Rookie Status ,Pay Driver? 
Sebastian Vettel,30000000,Ferrari,1,30,4,5,5,13,2,0,0,0,3.1,4.2,18,317,5,0,0
 Kimi Räikkönen,7000000,Ferrari,0,37,1,0,0,7,3,0,1,0,3.9,6.1,16,205,2,0,0
Sergio Pérez,2500000,Force India,0,27,0,0,0,0,1,0,0,0,8.8,8.2,10,100,1,0,1
Esteban Ocon,185000,Force India,1,20,0,0,0,0,1,0,0,0,9.5,8.4,11,87,0,0,0
 Romain Grosjean,1500000,Hass ,0,31,0,0,0,0,3,0,0,0,13.2,12.2,6,28,0,0,0
Kevin Magnussen,1000000,Hass,1,24,0,0,0,0,4,0,0,0,14.2,12.8,4,19,0,0,0
Stoffel Vandoorne,300000,McLaren ,1,25,0,0,0,0,6,0,0,0,14.5,13.4,3,13,0,0,0
 Fernando Alonso,37000000,McLaren ,0,36,2,0,0,0,5,0,1,0,12.6,13.4,3,17,1,0,0
 Lewis Hamilton,31000000,Mercedes,0,32,3,11,9,13,0,0,1,0,3.6,2.7,19,363,8,0,0
Valtteri Bottas,8500000,Mercedes,1,28,0,4,3,13,1,0,0,0,3.4,3.6,19,305,2,0,0
 Daniel Ricciardo,6500000,Red Bull Racing ,1,28,0,0,1,9,6,0,0,0,7.8,8,14,200,1,0,0
Max Verstappen,3000000,Red Bull Racing ,0,19,0,0,2,4,7,0,0,0,6.1,9.3,12,168,1,0,0
Nico Hülkenberg,3000000,Renault,0,30,0,0,0,0,6,0,0,0,9.7,12.4,6,43,0,0,0
Jolyon Palmer,1000000,Renault,1,26,0,0,0,0,4,0,1,0,15.4,13.9,3,8,0,0,1
Marcus Ericsson,285000,Sauber ,0,26,0,0,0,0,6,0,0,0,18.7,15.9,0,0,0,0,1
Pascal Wehrlein ,150000,Sauber,1,22,0,0,0,0,3,0,0,1,16.4,14.8,1,5,0,0,0
Daniil Kvyat,750000,Toro Rosso,0,23,0,0,0,0,4,0,0,0,12.3,13.4,1,5,0,0,0
Carlos Sainz Jr.,750000,Toro Rosso,1,23,0,0,0,0,8,0,0,0,11.7,12.2,6,54,0,0,0
 Lance Stroll,0,Williams ,1,18,0,0,0,0,2,0,0,0,16.5,14.2,4,6,0,0,1
Felipe Massa,5000000,Williams ,0,37,0,0,0,0,4,0,0,1,10.3,10.2,7,43,0,0,0
