Driver Name ,Salary ,Team ,Driver Status ,Age,Number of World Championships ,Number of Pole Positions ,Number of Race Wins ,Number of Podiums ,Number of DNF ,Number of DSQ,Number of DNS,WD,Average Grid Position,Average Finish Position ,Lead Lap Finish,Points ,Number of Fastest Laps,Rookie Status ,Pay Driver? 
Sebastian Vettel,30800000,Ferrari ,0,27,4,1,3,,1,0,0,0,5.3,4.1,17,278,1,0,0
Kimi Räikkönen,19800000,Ferrari ,1,35,1,0,0,,4,0,0,0,7.5,7.9,13,150,2,0,0
Sergio Pérez,4400000,Force India,0,25,0,0,0,,1,0,0,0,10.3,9.2,8,78,0,0,1
Nico Hülkenberg,4400000,Force India,1,27,0,0,0,,4,0,1,0,9.8,11.5,6,58,0,0,0
Romain Grosjean,4400000,Lotus ,0,29,0,0,0,,6,0,1,0,10.3,11.3,8,51,0,0,0
Pastor Maldonado,4400000,Lotus ,1,30,0,0,0,,9,0,0,0,11.8,13.9,7,27,0,0,1
Will Stevens,165000,Manor ,0,24,0,0,0,,2,0,2,0,17.7,16.5,0,0,0,0,1
Roberto Merhi,55000,Manor ,1,24,0,0,0,,1,0,1,0,18.2,15.7,0,0,0,1,0
Fernando Alonso,38440000,Mclaren,0,33,2,0,0,,7,0,0,0,15.6,14.9,3,11,0,0,0
Jenson Button,11000000,Mclaren,1,35,1,0,0,,5,0,1,0,15.7,13.7,5,16,0,0,0
Lewis Hamilton,27450000,Mercerdes,0,30,2,11,10,,1,0,0,0,1.6,2.6,18,381,8,0,0
Nico Rosberg,14820000,Mercerdes,1,30,0,7,6,,1,0,0,0,2.1,3.8,17,322,5,0,0
Daniel Ricciardo,1650000,Red Bull,0,25,0,0,0,,2,0,0,0,8.1,9.2,8,92,3,0,0
Daniil Kvyat,823500,Red Bull,1,21,0,0,0,,2,0,1,0,9.6,8.4,8,95,0,0,0
Marcus Ericsson,219000,Sauber,0,24,0,0,0,,3,0,0,0,13.9,13.1,5,19,0,0,1
Felipe Nasr,219000,Sauber,1,22,0,0,0,,1,0,1,0,13.4,11.7,8,27,0,1,1
Max Verstappen,275000,Toro Rosso,0,17,0,0,0,,4,0,0,0,11.4,11.2,8,49,0,1,0
Carlos Sainz Jr,275000,Toro Rosso,1,20,0,0,0,,7,0,0,0,12.4,12.7,5,18,0,1,0
Felipe Massa,4400000,Williams ,0,34,0,0,0,,2,1,0,0,7.4,8.4,13,121,0,0,0
Valtteri Bottas,2200000,Williams ,1,25,0,0,0,,1,0,1,0,6.4,7.4,14,136,0,0,0
