Driver Name ,Salary ,Team ,Driver Status ,Age,Number of World Championships ,Number of Pole Positions ,Number of Race Wins ,Number of Podiums ,Number of DNF ,Number of DSQ,Number of DNS,WD,Average Grid Position,Average Finish Position ,Lead Lap Finish,Points ,Number of Fastest Laps,Rookie Status ,Pay Driver? 
Sebastian Vettel,35000000,Ferrari,0,28,4,0,0,13,3,0,1,0,6.2,6.6,17,212,3,0,0
Kimi Räikkönen,8800000,Ferrari,1,36,1,0,0,4,4,0,0,0,5.3,7.5,17,185,1,0,0
Sergio Pérez,4400000,Force India,0,26,0,0,0,2,0,0,0,0,9.8,8.6,14,101,0,0,1
Nico Hülkenberg,4400000,Force India,1,28,0,0,0,0,4,0,0,0,8.4,11.3,12,72,1,0,0
Romain Grosjean,3300000,Hass,0,30,0,0,0,0,2,0,2,0,14.1,13,6,29,0,0,0
Esteban Gutiérrez,830000,Hass,1,24,0,0,0,0,5,0,0,0,14,15.1,2,0,0,0,1
Fernando Alonso,33000000,Mclaren ,0,34,2,0,0,0,2,0,0,1,12.2,11.6,8,54,1,0,0
Jenson Button,18700000,Mclaren ,1,36,1,0,0,0,6,0,0,0,13,13.9,5,21,0,0,0
Nico Rosberg,17600000,Mercerdes,1,31,0,8,9,16,1,0,0,0,1.8,3.1,20,385,6,0,0
Lewis Hamilton,35000000,Mercerdes,0,31,3,10,12,17,1,0,0,0,4.1,3.8,19,380,3,0,0
Rio Haryanto,165000,Manor,0,23,0,0,0,0,3,0,0,0,19.8,18.7,0,0,0,1,1
Pascal Wehrlein,550000,Manor,1,21,0,0,0,0,5,0,0,0,16.4,14.8,1,5,0,0,0
Daniel Ricciardo,6000000,Red Bull ,0,27,0,1,1,8,0,0,0,0,3.9,4.4,20,256,3,0,0
Daniil Kvyat,830000,Red Bull/Toro Rosso,1,22,0,0,0,1,5,0,1,0,13.5,14.1,5,25,1,0,0
Max Verstappen,550000,Red Bull/Toro Rosso,0,18,0,0,1,7,4,0,0,0,6,6.9,18,204,1,0,0
Kevin Magnussen,820000,Renault ,0,23,0,0,0,0,4,0,0,0,17.2,15.1,3,7,0,0,0
Jolyon Palmer,170000,Renault ,1,25,0,0,0,0,4,0,1,0,17.2,15.7,3,1,0,1,1
Marcus Ericsson,275000,Sauber,0,25,0,0,0,0,5,0,0,0,18.7,15.9,0,0,0,0,1
Felipe Nasr,220000,Sauber,1,23,0,0,0,0,4,0,0,0,18.8,16,0,2,0,0,1
Carlos Sainz Jr,385000,Toro Rosso,0,21,0,0,0,0,4,0,0,0,12,12,8,46,0,0,0
Valtteri Bottas,2000000,Williams ,1,26,0,0,0,1,2,0,0,0,8.3,9.6,12,85,0,0,0
Felipe Massa,4400000,Williams ,0,35,0,0,0,0,3,0,0,0,10.3,11.4,9,53,0,0,0
