Year,Salary ,Team ,Driver Status ,Age,Number of World Championships,Number of Pole Positions ,Number of Race Wins ,Number of Podiums ,Number of DNF,Average Grid Position ,Average Finish Position,Lead Lap Finish,Points,Number of Fatest Laps,Rookie Status ,Pay Driver 
2013,"€ 12,000,000.00",Infiniti Red Bull Racing,0,25,4,9,13,16,1,2.1,2.6,18,397,9,0,0
2014,"€ 22,000,000.00",Infiniti Red Bull Racing,0,26,4,0,0,4,3,7.8,7.4,16,167,2,0,0
2015,"€ 28,000,000.00",Scuderia Ferrari,0,27,4,1,3,13,1,5.3,4.1,17,278,1,0,0
2016,"€ 30,000,000.00",Scuderia Ferrari,0,28,4,0,0,7,3,6.2,6.6,17,212,3,0,0
2017,"€ 30,000,000.00",Scuderia Ferrari,0,29,4,4,5,13,2,3.1,4.2,18,317,5,0,0
2018,"€ 50,500,000.00",Scuderia Ferrari,0,30,4,5,5,12,1,2.9,3.9,20,320,3,0,0
